op_name,Name,Connectivity,Connectivity2,ofm_allocation,weights_allocation,head_names,OPID,ifmx,ifmy,ifmz,ofmx,ofmy,ofmz
conv2d,0,1,0,1,3,conv2d_0,100000,3,224,224,64,112,112
bn2d,1,2,0,5,3,bn2d_1,010000,64,112,112,64,112,112
relu,2,3,0,0,0,relu_2,001000,64,112,112,64,112,112
mp2d,3,4,12,0,2,mp2d_3,000010,64,112,112,64,56,56
conv2d,4,5,0,1,4,conv2d_4,100000,64,56,56,64,56,56
bn2d,5,6,0,5,3,bn2d_5,010000,64,56,56,64,56,56
relu,6,7,0,0,0,relu_6,001000,64,56,56,64,56,56
conv2d,7,8,0,1,4,conv2d_7,100000,64,56,56,64,56,56
bn2d,8,9,0,5,3,bn2d_8,010000,64,56,56,64,56,56
relu,9,10,0,0,0,relu_9,001000,64,56,56,64,56,56
conv2d,10,11,0,1,4,conv2d_10,100000,64,56,56,64,56,56
bn2d,11,14,0,5,3,bn2d_11,010000,64,56,56,64,56,56
conv2d,12,13,0,1,4,conv2d_12,100000,64,56,56,256,56,56
bn2d,13,14,0,5,3,bn2d_13,010000,256,56,56,256,56,56
relu,14,15,23,0,0,relu_14,001000,256,56,56,256,56,56
conv2d,15,16,0,1,4,conv2d_15,100000,256,56,56,64,56,56
bn2d,16,17,0,5,3,bn2d_16,010000,64,56,56,64,56,56
relu,17,18,0,0,0,relu_17,001000,64,56,56,64,56,56
conv2d,18,19,0,1,4,conv2d_18,100000,64,56,56,64,56,56
bn2d,19,20,0,5,3,bn2d_19,010000,64,56,56,64,56,56
relu,20,21,0,0,0,relu_20,001000,64,56,56,64,56,56
conv2d,21,22,0,1,4,conv2d_21,100000,64,56,56,256,56,56
bn2d,22,23,0,5,3,bn2d_22,010000,256,56,56,256,56,56
relu,23,24,32,0,0,relu_23,001000,256,56,56,256,56,56
conv2d,24,25,0,1,4,conv2d_24,100000,256,56,56,64,56,56
bn2d,25,26,0,5,3,bn2d_25,010000,64,56,56,64,56,56
relu,26,27,0,0,0,relu_26,001000,64,56,56,64,56,56
conv2d,27,28,0,1,4,conv2d_27,100000,64,56,56,64,56,56
bn2d,28,29,0,5,3,bn2d_28,010000,64,56,56,64,56,56
relu,29,30,0,0,0,relu_29,001000,64,56,56,64,56,56
conv2d,30,31,0,1,4,conv2d_30,100000,64,56,56,256,56,56
bn2d,31,32,0,5,3,bn2d_31,010000,256,56,56,256,56,56
relu,32,33,41,0,0,relu_32,001000,256,56,56,256,56,56
conv2d,33,34,0,1,4,conv2d_33,100000,256,56,56,128,56,56
bn2d,34,35,0,5,3,bn2d_34,010000,128,56,56,128,56,56
relu,35,36,0,0,0,relu_35,001000,128,56,56,128,56,56
conv2d,36,37,0,1,4,conv2d_36,100000,128,56,56,128,28,28
bn2d,37,38,0,5,3,bn2d_37,010000,128,28,28,128,28,28
relu,38,39,0,0,0,relu_38,001000,128,28,28,128,28,28
conv2d,39,40,0,1,4,conv2d_39,100000,128,28,28,128,28,28
bn2d,40,43,0,5,3,bn2d_40,010000,128,28,28,128,28,28
conv2d,41,42,0,1,4,conv2d_41,100000,128,28,28,512,28,28
bn2d,42,43,0,5,3,bn2d_42,010000,512,28,28,512,28,28
relu,43,44,52,0,0,relu_43,001000,512,28,28,512,28,28
conv2d,44,45,0,1,4,conv2d_44,100000,512,28,28,128,28,28
bn2d,45,46,0,5,3,bn2d_45,010000,128,28,28,128,28,28
relu,46,47,0,0,0,relu_46,001000,128,28,28,128,28,28
conv2d,47,48,0,1,4,conv2d_47,100000,128,28,28,128,28,28
bn2d,48,49,0,5,3,bn2d_48,010000,128,28,28,128,28,28
relu,49,50,0,0,0,relu_49,001000,128,28,28,128,28,28
conv2d,50,51,0,1,4,conv2d_50,100000,128,28,28,512,28,28
bn2d,51,52,0,5,3,bn2d_51,010000,512,28,28,512,28,28
relu,52,53,61,0,0,relu_52,001000,512,28,28,512,28,28
conv2d,53,54,0,1,4,conv2d_53,100000,512,28,28,128,28,28
bn2d,54,55,0,5,3,bn2d_54,010000,128,28,28,128,28,28
relu,55,56,0,0,0,relu_55,001000,128,28,28,128,28,28
conv2d,56,57,0,1,4,conv2d_56,100000,128,28,28,128,28,28
bn2d,57,58,0,5,3,bn2d_57,010000,128,28,28,128,28,28
relu,58,59,0,0,0,relu_58,001000,128,28,28,128,28,28
conv2d,59,60,0,1,4,conv2d_59,100000,128,28,28,512,28,28
bn2d,60,61,0,5,3,bn2d_60,010000,512,28,28,512,28,28
relu,61,62,70,0,0,relu_61,001000,512,28,28,512,28,28
conv2d,62,63,0,1,4,conv2d_62,100000,512,28,28,128,28,28
bn2d,63,64,0,5,3,bn2d_63,010000,128,28,28,128,28,28
relu,64,65,0,0,0,relu_64,001000,128,28,28,128,28,28
conv2d,65,66,0,1,4,conv2d_65,100000,128,28,28,128,28,28
bn2d,66,67,0,5,3,bn2d_66,010000,128,28,28,128,28,28
relu,67,68,0,0,0,relu_67,001000,128,28,28,128,28,28
conv2d,68,69,0,1,4,conv2d_68,100000,128,28,28,512,28,28
bn2d,69,70,0,5,3,bn2d_69,010000,512,28,28,512,28,28
relu,70,71,79,0,0,relu_70,001000,512,28,28,512,28,28
conv2d,71,72,0,1,4,conv2d_71,100000,512,28,28,256,28,28
bn2d,72,73,0,5,3,bn2d_72,010000,256,28,28,256,28,28
relu,73,74,0,0,0,relu_73,001000,256,28,28,256,28,28
conv2d,74,75,0,1,4,conv2d_74,100000,256,28,28,256,14,14
bn2d,75,76,0,5,3,bn2d_75,010000,256,14,14,256,14,14
relu,76,77,0,0,0,relu_76,001000,256,14,14,256,14,14
conv2d,77,78,0,1,4,conv2d_77,100000,256,14,14,256,14,14
bn2d,78,81,0,5,3,bn2d_78,010000,256,14,14,256,14,14
conv2d,79,80,0,1,4,conv2d_79,100000,256,14,14,1024,14,14
bn2d,80,81,0,5,3,bn2d_80,010000,1024,14,14,1024,14,14
relu,81,82,90,0,0,relu_81,001000,1024,14,14,1024,14,14
conv2d,82,83,0,1,4,conv2d_82,100000,1024,14,14,256,14,14
bn2d,83,84,0,5,3,bn2d_83,010000,256,14,14,256,14,14
relu,84,85,0,0,0,relu_84,001000,256,14,14,256,14,14
conv2d,85,86,0,1,4,conv2d_85,100000,256,14,14,256,14,14
bn2d,86,87,0,5,3,bn2d_86,010000,256,14,14,256,14,14
relu,87,88,0,0,0,relu_87,001000,256,14,14,256,14,14
conv2d,88,89,0,1,4,conv2d_88,100000,256,14,14,1024,14,14
bn2d,89,90,0,5,3,bn2d_89,010000,1024,14,14,1024,14,14
relu,90,91,99,0,0,relu_90,001000,1024,14,14,1024,14,14
conv2d,91,92,0,1,4,conv2d_91,100000,1024,14,14,256,14,14
bn2d,92,93,0,5,3,bn2d_92,010000,256,14,14,256,14,14
relu,93,94,0,0,0,relu_93,001000,256,14,14,256,14,14
conv2d,94,95,0,1,4,conv2d_94,100000,256,14,14,256,14,14
bn2d,95,96,0,5,3,bn2d_95,010000,256,14,14,256,14,14
relu,96,97,0,0,0,relu_96,001000,256,14,14,256,14,14
conv2d,97,98,0,1,4,conv2d_97,100000,256,14,14,1024,14,14
