Name,Connectivity,Connectivity2,OPID,weight_size,ifmx,ifmy,ifmz,ofmx,ofmy,ofmz
1,2,,100000,9408,3,224,224,64,112,112
2,3,,010000,0,64,112,112,64,112,112
3,4,,001000,0,64,112,112,64,112,112
4,5,13,000010,0,64,112,112,64,56,56
5,6,,100000,4096,64,56,56,64,56,56
6,7,,010000,0,64,56,56,64,56,56
7,8,,001000,0,64,56,56,64,56,56
8,9,,100000,36864,64,56,56,64,56,56
9,10,,010000,0,64,56,56,64,56,56
10,11,,001000,0,64,56,56,64,56,56
11,12,,100000,4096,64,56,56,64,56,56
12,15,,010000,0,64,56,56,64,56,56
13,14,,100000,16384,64,56,56,256,56,56
14,15,,010000,0,256,56,56,256,56,56
15,16,24,001000,0,256,56,56,256,56,56
16,17,,100000,16384,256,56,56,64,56,56
17,18,,010000,0,64,56,56,64,56,56
18,19,,001000,0,64,56,56,64,56,56
19,20,,100000,36864,64,56,56,64,56,56
20,21,,010000,0,64,56,56,64,56,56
21,22,,001000,0,64,56,56,64,56,56
22,23,,100000,16384,64,56,56,256,56,56
23,24,,010000,0,256,56,56,256,56,56
24,25,33,001000,0,256,56,56,256,56,56
25,26,,100000,16384,256,56,56,64,56,56
26,27,,010000,0,64,56,56,64,56,56
27,28,,001000,0,64,56,56,64,56,56
28,29,,100000,36864,64,56,56,64,56,56
29,30,,010000,0,64,56,56,64,56,56
30,31,,001000,0,64,56,56,64,56,56
31,32,,100000,16384,64,56,56,256,56,56
32,33,,010000,0,256,56,56,256,56,56
33,34,42,001000,0,256,56,56,256,56,56
34,35,,100000,32768,256,56,56,128,56,56
35,36,,010000,0,128,56,56,128,56,56
36,37,,001000,0,128,56,56,128,56,56
37,38,,100000,147456,128,56,56,128,28,28
38,39,,010000,0,128,28,28,128,28,28
39,40,,001000,0,128,28,28,128,28,28
40,41,,100000,16384,128,28,28,128,28,28
41,44,,010000,0,128,28,28,128,28,28
42,43,,100000,65536,128,28,28,512,28,28
43,44,,010000,0,512,28,28,512,28,28
44,45,53,001000,0,512,28,28,512,28,28
45,46,,100000,65536,512,28,28,128,28,28
46,47,,010000,0,128,28,28,128,28,28
47,48,,001000,0,128,28,28,128,28,28
48,49,,100000,147456,128,28,28,128,28,28
49,50,,010000,0,128,28,28,128,28,28
50,51,,001000,0,128,28,28,128,28,28
51,52,,100000,65536,128,28,28,512,28,28
52,53,,010000,0,512,28,28,512,28,28
53,54,62,001000,0,512,28,28,512,28,28
54,55,,100000,65536,512,28,28,128,28,28
55,56,,010000,0,128,28,28,128,28,28
56,57,,001000,0,128,28,28,128,28,28
57,58,,100000,147456,128,28,28,128,28,28
58,59,,010000,0,128,28,28,128,28,28
59,60,,001000,0,128,28,28,128,28,28
60,61,,100000,65536,128,28,28,512,28,28
61,62,,010000,0,512,28,28,512,28,28
62,63,71,001000,0,512,28,28,512,28,28
63,64,,100000,65536,512,28,28,128,28,28
64,65,,010000,0,128,28,28,128,28,28
65,66,,001000,0,128,28,28,128,28,28
66,67,,100000,147456,128,28,28,128,28,28
67,68,,010000,0,128,28,28,128,28,28
68,69,,001000,0,128,28,28,128,28,28
69,70,,100000,65536,128,28,28,512,28,28
70,71,,010000,0,512,28,28,512,28,28
71,72,80,001000,0,512,28,28,512,28,28
72,73,,100000,131072,512,28,28,256,28,28
73,74,,010000,0,256,28,28,256,28,28
74,75,,001000,0,256,28,28,256,28,28
75,76,,100000,589824,256,28,28,256,14,14
76,77,,010000,0,256,14,14,256,14,14
77,78,,001000,0,256,14,14,256,14,14
78,79,,100000,65536,256,14,14,256,14,14
79,82,,010000,0,256,14,14,256,14,14
80,81,,100000,262144,256,14,14,1024,14,14
81,82,,010000,0,1024,14,14,1024,14,14
82,83,91,001000,0,1024,14,14,1024,14,14
83,84,,100000,262144,1024,14,14,256,14,14
84,85,,010000,0,256,14,14,256,14,14
85,86,,001000,0,256,14,14,256,14,14
86,87,,100000,589824,256,14,14,256,14,14
87,88,,010000,0,256,14,14,256,14,14
88,89,,001000,0,256,14,14,256,14,14
89,90,,100000,262144,256,14,14,1024,14,14
90,91,,010000,0,1024,14,14,1024,14,14
91,92,100,001000,0,1024,14,14,1024,14,14
92,93,,100000,262144,1024,14,14,256,14,14
93,94,,010000,0,256,14,14,256,14,14
94,95,,001000,0,256,14,14,256,14,14
95,96,,100000,589824,256,14,14,256,14,14
96,97,,010000,0,256,14,14,256,14,14
97,98,,001000,0,256,14,14,256,14,14
98,99,,100000,262144,256,14,14,1024,14,14
99,100,,010000,0,1024,14,14,1024,14,14
100,101,109,001000,0,1024,14,14,1024,14,14
101,102,,100000,262144,1024,14,14,256,14,14
102,103,,010000,0,256,14,14,256,14,14
